"","X","Home.Team","Away.Team","Score","Half.Time.Score","Match.Excitement","Home.Team.Rating","Away.Team.Rating","Home.Team.Possession..","Away.Team.Possession..","Home.Team.Off.Target.Shots","Home.Team.On.Target.Shots","Home.Team.Total.Shots","Home.Team.Blocked.Shots","Home.Team.Corners","Home.Team.Throw.Ins","Home.Team.Pass.Success..","Home.Team.Aerials.Won","Home.Team.Clearances","Home.Team.Fouls","Home.Team.Yellow.Cards","Home.Team.Second.Yellow.Cards","Home.Team.Red.Cards","Away.Team.Off.Target.Shots","Away.Team.On.Target.Shots","Away.Team.Total.Shots","Away.Team.Blocked.Shots","Away.Team.Corners","Away.Team.Throw.Ins","Away.Team.Pass.Success..","Away.Team.Aerials.Won","Away.Team.Clearances","Away.Team.Fouls","Away.Team.Yellow.Cards","Away.Team.Second.Yellow.Cards","Away.Team.Red.Cards","Home.Team.Goals.Scored","Away.Team.Goals.Scored","Home.Team.Goals.Conceeded","Away.Team.Goals.Conceeded","year"
"89",88,"SEVILLA FC","VILLARREAL","2-1","0-0",6.4,6.7,6,54,46,1,4,8,3,3,25,74,13,13,19,3,0,0,5,4,10,1,2,20,74,11,22,15,4,0,0,2,1,1,2,2014
"90",89,"GETAFE","ATLETICO MADRID","0-1","0-1",3.9,5.4,7,39,61,3,3,10,4,1,24,72,14,24,17,3,0,1,3,7,12,2,8,36,82,13,19,11,3,0,0,0,1,1,0,2014
"91",90,"DEPORTIVO","GETAFE","1-2","0-1",5.3,6,6.8,56,44,5,2,9,2,4,38,75,10,24,7,2,0,0,9,4,16,3,6,27,68,13,25,23,1,0,0,1,2,2,1,2014
"92",91,"GRANADA","REAL MADRID","0-4","0-2",6.5,4.8,8,33,67,5,5,11,1,3,14,78,14,16,19,1,0,0,7,8,18,3,4,23,88,12,17,9,2,0,0,0,4,4,0,2014
"93",92,"ATLETICO MADRID","CÓRDOBA","4-2","1-0",8,7,5.7,61,39,4,8,16,4,4,25,85,15,7,13,0,0,0,3,4,8,1,5,17,74,18,29,13,2,0,0,4,2,2,4,2014
"94",93,"BARCELONA","CELTA","0-1","0-0",5.4,6.5,6.7,67,33,10,9,19,0,9,24,82,16,11,10,1,0,0,2,4,10,4,5,16,63,13,30,29,2,0,0,0,1,1,0,2014
"95",94,"REAL SOCIEDAD","MÁLAGA","0-1","0-0",3.1,5.4,7.4,55,45,2,2,4,2,6,21,75,20,16,18,2,0,0,3,2,6,1,3,26,73,14,29,22,5,0,0,0,1,1,0,2014
"96",95,"ATHLETIC","SEVILLA FC","1-0","1-0",2.6,6.7,5.8,43,57,4,2,9,3,4,24,63,23,27,24,4,0,0,3,1,4,0,8,28,73,28,15,11,3,0,0,1,0,0,1,2014
"97",96,"VILLARREAL","VALENCIA","1-3","0-1",6.2,5.3,7.3,63,37,3,4,14,7,11,23,79,13,11,12,2,0,0,2,3,6,1,4,26,71,13,28,15,3,0,0,1,3,3,1,2014
"98",97,"LEVANTE","ALMERÍA","2-1","1-0",5.8,6.4,5.6,42,58,3,5,11,3,3,24,71,24,23,17,3,0,0,4,5,14,5,6,22,79,16,13,17,2,0,0,2,1,1,2,2014
"99",98,"ELCHE","ESPANYOL","2-1","1-0",7.4,6.3,5.4,39,61,4,4,10,2,4,21,72,17,37,19,4,2,0,4,5,15,6,10,24,78,17,14,10,2,0,0,2,1,1,2,2014
"100",99,"RAYO VALLECANO","EIBAR","2-3","0-1",7.8,5.6,6.1,71,29,7,6,16,3,11,47,79,16,4,10,1,0,0,3,5,8,0,2,22,60,16,40,14,2,0,0,2,3,3,2,2014
"101",100,"CÓRDOBA","DEPORTIVO","0-0","0-0",2.6,6.6,5.6,68,32,6,6,14,2,3,35,84,21,23,10,4,0,0,3,2,6,1,2,40,59,21,24,5,1,1,0,0,0,0,0,2014
"102",101,"ALMERÍA","BARCELONA","1-2","1-0",6.1,5.3,6.9,27,73,3,2,6,1,4,31,60,10,25,16,2,0,0,11,6,18,1,5,13,88,17,20,9,0,0,0,1,2,2,1,2014
"103",102,"GETAFE","ELCHE","0-0","0-0",2.8,6.1,7.2,55,45,11,3,17,3,9,22,74,28,14,11,1,0,0,4,5,11,2,2,26,71,20,25,8,2,0,0,0,0,0,0,2014
"104",103,"REAL MADRID","RAYO VALLECANO","5-1","2-1",7.6,7.8,4.8,44,56,4,11,16,1,4,23,81,12,16,12,0,0,0,7,6,15,2,6,21,88,9,10,15,4,0,0,5,1,1,5,2014
"105",104,"MÁLAGA","EIBAR","2-1","0-1",6.3,7.4,4.3,56,44,6,8,15,1,5,28,77,14,16,9,3,0,0,2,3,7,2,3,22,67,14,12,15,3,1,0,2,1,1,2,2014
"106",105,"CELTA","GRANADA","0-0","0-0",2.4,7,5.6,65,35,8,5,17,4,6,25,81,20,13,14,1,0,0,5,1,8,2,2,27,64,13,20,17,4,0,0,0,0,0,0,2014
"107",106,"SEVILLA FC","LEVANTE","1-1","1-0",5.2,6.8,6.1,60,40,8,6,15,1,6,17,81,17,27,13,2,0,0,7,5,17,5,5,17,72,23,33,10,6,0,0,1,1,1,1,2014
"108",107,"ESPANYOL","VILLARREAL","1-1","0-0",4.7,6.3,6.6,57,43,7,4,11,0,6,37,67,26,13,16,3,0,0,3,5,9,1,7,21,62,22,48,25,3,0,0,1,1,1,1,2014
"109",108,"VALENCIA","ATHLETIC","0-0","0-0",1.5,6.8,6.4,49,51,6,1,8,1,2,29,69,19,20,13,0,0,0,3,1,4,0,4,32,71,26,21,17,2,0,0,0,0,0,0,2014
"110",109,"REAL SOCIEDAD","ATLETICO MADRID","2-1","1-1",5.4,7,5.1,55,45,5,5,11,1,2,39,77,13,26,17,2,0,0,2,2,4,0,1,39,70,23,30,17,7,1,0,2,1,1,2,2014
"111",110,"ATHLETIC","ESPANYOL","3-1","2-0",5.8,7.4,5.4,54,46,3,5,9,1,5,28,77,24,21,15,1,0,0,4,3,8,1,3,25,73,20,13,18,5,0,0,3,1,1,3,2014
"112",111,"ATLETICO MADRID","MÁLAGA","3-1","2-0",5.6,6.9,5,48,52,5,5,11,1,4,31,77,11,9,19,2,1,0,1,1,4,3,3,16,80,8,16,14,4,1,0,3,1,1,3,2014
"113",112,"EIBAR","REAL MADRID","0-4","0-2",5.9,4.1,8.7,38,62,5,2,10,3,4,25,73,14,7,16,4,0,0,9,8,19,2,2,16,86,12,22,9,2,0,0,0,4,4,0,2014
"114",113,"BARCELONA","SEVILLA FC","5-1","1-0",5.7,9.1,4.7,70,30,3,10,16,3,5,23,91,5,14,8,1,0,0,1,0,2,1,4,16,77,4,16,21,2,0,0,5,1,1,5,2014
"115",114,"DEPORTIVO","REAL SOCIEDAD","0-0","0-0",3.2,6.6,6.4,53,47,2,4,11,5,8,25,77,16,30,14,3,0,0,9,5,17,3,6,31,72,19,35,11,1,0,0,0,0,0,0,2014
